Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
07-12-1984,0.0,1.6572624280981592,1.6332439184188843,1.6332439184188843,6750,0.0,0.0
10-12-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,18900,0.0,0.0
11-12-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,10800,0.0,0.0
12-12-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,13500,0.0,0.0
13-12-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,31950,0.0,0.0
14-12-1984,0.0,1.6572626599346307,1.585207223892212,1.585207223892212,3150,0.0,0.0
17-12-1984,0.0,1.6572626599346307,1.585207223892212,1.585207223892212,29250,0.0,0.0
18-12-1984,0.0,1.6572627961296453,1.609225869178772,1.609225869178772,94950,0.0,0.0
19-12-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,27450,0.0,0.0
20-12-1984,0.0,1.561189502003036,1.5131524801254272,1.5131524801254272,407250,0.0,0.0
21-12-1984,0.0,1.5611899860421927,1.489134430885315,1.489134430885315,97200,0.0,0.0
24-12-1984,0.0,1.5611899860421927,1.489134430885315,1.489134430885315,1800,0.0,0.0
26-12-1984,0.0,1.5611899860421927,1.489134430885315,1.489134430885315,7650,0.0,0.0
27-12-1984,0.0,1.561189502003036,1.5131524801254272,1.5131524801254272,99450,0.0,0.0
28-12-1984,0.0,1.6092257369314655,1.585207223892212,1.585207223892212,175050,0.0,0.0
31-12-1984,0.0,1.6092257369314655,1.585207223892212,1.585207223892212,30150,0.0,0.0
02-01-1985,0.0,1.6092257369314655,1.585207223892212,1.585207223892212,92700,0.0,0.0
03-01-1985,0.0,1.6092256274111711,1.5611895322799683,1.5611895322799683,13950,0.0,0.0
04-01-1985,0.0,1.5371714676565666,1.489134430885315,1.489134430885315,30600,0.0,0.0
07-01-1985,0.0,1.3930611639239998,1.3450250625610352,1.3450250625610352,41400,0.0,0.0
08-01-1985,0.0,1.3210061409386158,1.272969126701355,1.272969126701355,27000,0.0,0.0
09-01-1985,0.0,1.3690427609706168,1.3210066556930542,1.3210066556930542,189000,0.0,0.0
10-01-1985,0.0,1.4170795604230868,1.3690426349639893,1.3690426349639893,9450,0.0,0.0
11-01-1985,0.0,1.4170794511721254,1.3930610418319702,1.3930610418319702,56250,0.0,0.0
14-01-1985,0.0,1.5131529492709408,1.489134430885315,1.489134430885315,159750,0.0,0.0
15-01-1985,0.0,1.585207116006564,1.5611895322799683,1.5611895322799683,158850,0.0,0.0
16-01-1985,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,149400,0.0,0.0
17-01-1985,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,211500,0.0,0.0
18-01-1985,0.0,1.7773543345534648,1.729317307472229,1.729317307472229,221850,0.0,0.0
21-01-1985,0.0,1.753335717937503,1.729317307472229,1.729317307472229,131400,0.0,0.0
22-01-1985,0.0,1.7293171738706932,1.705298662185669,1.705298662185669,69300,0.0,0.0
23-01-1985,0.0,1.7773543345534648,1.729317307472229,1.729317307472229,72450,0.0,0.0
24-01-1985,0.0,1.9695003086902976,1.9214634895324707,1.9214634895324707,135450,0.0,0.0
25-01-1985,0.0,2.0895926854281317,2.041555643081665,2.041555643081665,230850,0.0,0.0
28-01-1985,0.0,1.92146345960136,1.8974448442459106,1.8974448442459106,359100,0.0,0.0
29-01-1985,0.0,1.993518798268824,1.969500184059143,1.969500184059143,290250,0.0,0.0
30-01-1985,0.0,2.0655736685893706,2.0175366401672363,2.0175366401672363,298350,0.0,0.0
31-01-1985,0.0,2.0655736685893706,2.0175366401672363,2.0175366401672363,76950,0.0,0.0
01-02-1985,0.0,2.0175363817251704,1.969500184059143,1.969500184059143,46800,0.0,0.0
04-02-1985,0.0,2.041554943691661,1.9935189485549927,1.9935189485549927,196200,0.0,0.0
05-02-1985,0.0,2.1136102789229754,2.041555643081665,2.041555643081665,755100,0.0,0.0
06-02-1985,0.0,2.257719398382924,2.23370099067688,2.23370099067688,313200,0.0,0.0
07-02-1985,0.0,2.3297737908470273,2.281737804412842,2.281737804412842,561600,0.0,0.0
08-02-1985,0.0,2.305756209931225,2.281737804412842,2.281737804412842,123300,0.0,0.0
11-02-1985,0.0,2.3057570278181836,2.2577199935913086,2.2577199935913086,61650,0.0,0.0
12-02-1985,0.0,2.2577191657144464,2.2096831798553467,2.2096831798553467,133650,0.0,0.0
13-02-1985,0.0,2.2577191657144464,2.2096831798553467,2.2096831798553467,222750,0.0,0.0
14-02-1985,0.0,2.161646246194638,2.1376278400421143,2.1376278400421143,202050,0.0,0.0
15-02-1985,0.0,2.20968363095692,2.161646604537964,2.161646604537964,78750,0.0,0.0
19-02-1985,0.0,2.1856650146720997,2.161646604537964,2.161646604537964,89550,0.0,0.0
20-02-1985,0.0,2.1136090830490777,2.0895915031433105,2.0895915031433105,68400,0.0,0.0
21-02-1985,0.0,2.113609202616098,2.065573215484619,2.065573215484619,51750,0.0,0.0
