date,AZN,isPartial
2013-01-03,68,False
2013-01-04,42,False
2013-01-05,69,False
2013-01-06,42,False
2013-01-07,53,False
2013-01-08,69,False
2013-01-09,63,False
2013-01-10,70,False
2013-01-11,64,False
2013-01-12,59,False
2013-01-13,49,False
2013-01-14,65,False
2013-01-15,41,False
2013-01-16,47,False
2013-01-17,57,False
2013-01-18,51,False
2013-01-19,50,False
2013-01-20,53,False
2013-01-21,62,False
2013-01-22,65,False
2013-01-23,67,False
2013-01-24,56,False
2013-01-25,58,False
2013-01-26,68,False
2013-01-27,63,False
2013-01-28,62,False
2013-01-29,68,False
2013-01-30,82,False
2013-01-31,62,False
2013-02-01,48,False
2013-02-02,64,False
2013-02-03,65,False
2013-02-04,56,False
2013-02-05,74,False
2013-02-06,81,False
2013-02-07,78,False
2013-02-08,56,False
2013-02-09,81,False
2013-02-10,53,False
2013-02-11,69,False
2013-02-12,72,False
2013-02-13,71,False
2013-02-14,71,False
2013-02-15,49,False
2013-02-16,63,False
2013-02-17,78,False
2013-02-18,55,False
2013-02-19,48,False
2013-02-20,58,False
2013-02-21,45,False
2013-02-22,63,False
2013-02-23,42,False
2013-02-24,65,False
2013-02-25,59,False
2013-02-26,64,False
2013-02-27,43,False
2013-02-28,66,False
2013-03-01,89,False
2013-03-02,50,False
2013-03-03,61,False
2013-03-04,61,False
2013-03-05,65,False
2013-03-06,57,False
2013-03-07,48,False
2013-03-08,59,False
2013-03-09,62,False
2013-03-10,44,False
2013-03-11,56,False
2013-03-12,69,False
2013-03-13,51,False
2013-03-14,56,False
2013-03-15,49,False
2013-03-16,54,False
2013-03-17,58,False
2013-03-18,58,False
2013-03-19,45,False
2013-03-20,66,False
2013-03-21,69,False
2013-03-22,90,False
2013-03-23,46,False
2013-03-24,49,False
2013-03-25,54,False
2013-03-26,64,False
2013-03-27,58,False
2013-03-28,59,False
2013-03-29,58,False
2013-03-30,75,False
2013-03-31,76,False
2013-04-01,69,False
2013-04-02,70,False
2013-04-03,66,False
2013-04-04,67,False
2013-04-05,100,False
2013-04-06,45,False
2013-04-07,47,False
2013-04-08,56,False
2013-04-09,70,False
2013-04-10,42,False
2013-04-11,55,False
2013-04-12,47,False
2013-04-13,43,False
2013-04-14,55,False
2013-04-15,46,False
2013-04-16,34,False
2013-04-17,34,False
2013-04-18,77,False
2013-04-19,57,False
2013-04-20,51,False
2013-04-21,54,False
2013-04-22,54,False
2013-04-23,70,False
2013-04-24,60,False
2013-04-25,55,False
2013-04-26,58,False
2013-04-27,39,False
2013-04-28,50,False
2013-04-29,52,False
2013-04-30,61,False
2013-05-01,61,False
2013-05-02,48,False
2013-05-03,74,False
2013-05-04,55,False
2013-05-05,45,False
2013-05-06,68,False
2013-05-07,55,False
2013-05-08,50,False
2013-05-09,44,False
2013-05-10,62,False
2013-05-11,55,False
2013-05-12,45,False
2013-05-13,57,False
2013-05-14,62,False
2013-05-15,47,False
2013-05-16,71,False
2013-05-17,59,False
2013-05-18,55,False
2013-05-19,64,False
2013-05-20,72,False
2013-05-21,60,False
2013-05-22,62,False
2013-05-23,59,False
2013-05-24,47,False
2013-05-25,62,False
2013-05-26,50,False
2013-05-27,72,False
2013-05-28,68,False
2013-05-29,52,False
2013-05-30,39,False
2013-05-31,58,False
2013-06-01,68,False
2013-06-02,45,False
2013-06-03,50,False
2013-06-04,55,False
2013-06-05,59,False
2013-06-06,42,False
2013-06-07,45,False
2013-06-08,55,False
2013-06-09,52,False
2013-06-10,55,False
2013-06-11,66,False
2013-06-12,59,False
2013-06-13,57,False
2013-06-14,43,False
2013-06-15,70,False
2013-06-16,52,False
2013-06-17,58,False
2013-06-18,74,False
2013-06-19,47,False
2013-06-20,51,False
2013-06-21,54,False
2013-06-22,63,False
2013-06-23,66,False
2013-06-24,80,False
2013-06-25,62,False
2013-06-26,50,False
2013-06-27,72,False
2013-06-28,56,False
2013-06-29,77,False
2013-06-30,67,False
2013-07-01,53,False
2013-07-02,66,False
2013-07-03,58,False
2013-07-04,57,False
2013-07-05,63,False
2013-07-06,74,False
2013-07-07,69,False
2013-07-08,67,False
2013-07-09,50,False
2013-07-10,73,False
2013-07-11,66,False
2013-07-12,68,False
2013-07-13,58,False
2013-07-14,87,False
2013-07-15,66,False
2013-07-16,74,False
2013-07-17,63,False
2013-07-18,72,False
2013-07-19,60,False
2013-07-20,72,False
2013-07-21,65,False
2013-07-22,68,False
2013-07-23,52,False
2013-07-24,42,False
2013-07-25,46,False
2013-07-26,67,False
2013-07-27,81,False
2013-07-28,45,False
2013-07-29,70,False
2013-07-30,73,False
2013-07-31,71,False
2013-08-01,71,False
2013-08-02,92,False
2013-08-03,57,False
2013-08-04,53,False
2013-08-05,69,False
2013-08-06,70,False
2013-08-07,63,False
2013-08-08,69,False
2013-08-09,79,False
2013-08-10,56,False
2013-08-11,61,False
2013-08-12,69,False
2013-08-13,80,False
2013-08-14,57,False
2013-08-15,83,False
2013-08-16,81,False
2013-08-17,57,False
2013-08-18,68,False
2013-08-19,78,False
2013-08-20,74,False
2013-08-21,54,False
2013-08-22,59,False
2013-08-23,58,False
2013-08-24,53,False
2013-08-25,42,False
2013-08-26,47,False
2013-08-27,68,False
2013-08-28,55,False
2013-08-29,53,False
2013-08-30,72,False
2013-08-31,52,False
2013-09-01,42,False
2013-09-02,71,False
2013-09-03,76,False
2013-09-04,58,False
2013-09-05,67,False
2013-09-06,65,False
2013-09-07,58,False
2013-09-08,42,False
2013-09-09,27,False
2013-09-10,34,False
2013-09-11,62,False
2013-09-12,65,False
2013-09-13,44,False
2013-09-14,43,False
2013-09-15,61,False
2013-09-16,71,False
2013-09-17,79,False
2013-09-18,67,False
2013-09-19,59,False
2013-09-20,59,False
2013-09-21,64,False
2013-09-22,59,False
2013-09-23,64,False
2013-09-24,50,False
2013-09-25,60,False
2013-09-26,63,False
2013-09-27,68,False
2013-09-28,59,False
2013-09-29,77,False
2013-09-30,58,False
2013-10-01,55,False
2013-10-02,46,False
2013-10-03,60,False
2013-10-04,68,False
