date,ON,isPartial
2011-04-29,85,False
2011-04-30,88,False
2011-05-01,95,False
2011-05-02,89,False
2011-05-03,95,False
2011-05-04,87,False
2011-05-05,88,False
2011-05-06,87,False
2011-05-07,92,False
2011-05-08,91,False
2011-05-09,90,False
2011-05-10,89,False
2011-05-11,86,False
2011-05-12,88,False
2011-05-13,88,False
2011-05-14,90,False
2011-05-15,94,False
2011-05-16,91,False
2011-05-17,88,False
2011-05-18,86,False
2011-05-19,88,False
2011-05-20,89,False
2011-05-21,95,False
2011-05-22,93,False
2011-05-23,94,False
2011-05-24,88,False
2011-05-25,90,False
2011-05-26,88,False
2011-05-27,86,False
2011-05-28,90,False
2011-05-29,89,False
2011-05-30,85,False
2011-05-31,90,False
2011-06-01,87,False
2011-06-02,85,False
2011-06-03,90,False
2011-06-04,92,False
2011-06-05,91,False
2011-06-06,86,False
2011-06-07,86,False
2011-06-08,84,False
2011-06-09,86,False
2011-06-10,85,False
2011-06-11,87,False
2011-06-12,90,False
2011-06-13,86,False
2011-06-14,93,False
2011-06-15,83,False
2011-06-16,87,False
2011-06-17,85,False
2011-06-18,87,False
2011-06-19,93,False
2011-06-20,86,False
2011-06-21,91,False
2011-06-22,88,False
2011-06-23,91,False
2011-06-24,83,False
2011-06-25,89,False
2011-06-26,93,False
2011-06-27,89,False
2011-06-28,88,False
2011-06-29,88,False
2011-06-30,87,False
2011-07-01,73,False
2011-07-02,77,False
2011-07-03,81,False
2011-07-04,73,False
2011-07-05,75,False
2011-07-06,77,False
2011-07-07,78,False
2011-07-08,78,False
2011-07-09,78,False
2011-07-10,82,False
2011-07-11,75,False
2011-07-12,75,False
2011-07-13,77,False
2011-07-14,76,False
2011-07-15,78,False
2011-07-16,80,False
2011-07-17,80,False
2011-07-18,79,False
2011-07-19,74,False
2011-07-20,76,False
2011-07-21,76,False
2011-07-22,74,False
2011-07-23,78,False
2011-07-24,80,False
2011-07-25,75,False
2011-07-26,78,False
2011-07-27,76,False
2011-07-28,76,False
2011-07-29,75,False
2011-07-30,76,False
2011-07-31,81,False
2011-08-01,76,False
2011-08-02,80,False
2011-08-03,79,False
2011-08-04,76,False
2011-08-05,79,False
2011-08-06,78,False
2011-08-07,78,False
2011-08-08,73,False
2011-08-09,77,False
2011-08-10,76,False
2011-08-11,75,False
2011-08-12,76,False
2011-08-13,79,False
2011-08-14,80,False
2011-08-15,79,False
2011-08-16,76,False
2011-08-17,79,False
2011-08-18,74,False
2011-08-19,74,False
2011-08-20,77,False
2011-08-21,82,False
2011-08-22,76,False
2011-08-23,75,False
2011-08-24,77,False
2011-08-25,74,False
2011-08-26,72,False
2011-08-27,76,False
2011-08-28,78,False
2011-08-29,70,False
2011-08-30,78,False
2011-08-31,75,False
2011-09-01,73,False
2011-09-02,75,False
2011-09-03,77,False
2011-09-04,76,False
2011-09-05,76,False
2011-09-06,73,False
2011-09-07,74,False
2011-09-08,75,False
2011-09-09,74,False
2011-09-10,76,False
2011-09-11,81,False
2011-09-12,74,False
2011-09-13,79,False
2011-09-14,76,False
2011-09-15,74,False
2011-09-16,73,False
2011-09-17,76,False
2011-09-18,80,False
2011-09-19,73,False
2011-09-20,74,False
2011-09-21,73,False
2011-09-22,74,False
2011-09-23,75,False
2011-09-24,79,False
2011-09-25,79,False
2011-09-26,78,False
2011-09-27,74,False
2011-09-28,73,False
2011-09-29,76,False
2011-09-30,70,False
2011-10-01,76,False
