date,CEG,isPartial
2018-03-17,42,False
2018-03-18,36,False
2018-03-19,66,False
2018-03-20,67,False
2018-03-21,69,False
2018-03-22,68,False
2018-03-23,52,False
2018-03-24,28,False
2018-03-25,36,False
2018-03-26,57,False
2018-03-27,65,False
2018-03-28,72,False
2018-03-29,68,False
2018-03-30,34,False
2018-03-31,32,False
2018-04-01,34,False
2018-04-02,71,False
2018-04-03,64,False
2018-04-04,66,False
2018-04-05,77,False
2018-04-06,72,False
2018-04-07,44,False
2018-04-08,48,False
2018-04-09,90,False
2018-04-10,72,False
2018-04-11,71,False
2018-04-12,84,False
2018-04-13,56,False
2018-04-14,43,False
2018-04-15,48,False
2018-04-16,69,False
2018-04-17,65,False
2018-04-18,55,False
2018-04-19,59,False
2018-04-20,55,False
2018-04-21,31,False
2018-04-22,26,False
2018-04-23,47,False
2018-04-24,66,False
2018-04-25,56,False
2018-04-26,58,False
2018-04-27,74,False
2018-04-28,43,False
2018-04-29,37,False
2018-04-30,66,False
2018-05-01,49,False
2018-05-02,78,False
2018-05-03,85,False
2018-05-04,86,False
2018-05-05,50,False
2018-05-06,41,False
2018-05-07,75,False
2018-05-08,73,False
2018-05-09,77,False
2018-05-10,83,False
2018-05-11,58,False
2018-05-12,24,False
2018-05-13,44,False
2018-05-14,81,False
2018-05-15,83,False
2018-05-16,70,False
2018-05-17,71,False
2018-05-18,64,False
2018-05-19,46,False
2018-05-20,39,False
2018-05-21,76,False
2018-05-22,61,False
2018-05-23,62,False
2018-05-24,55,False
2018-05-25,61,False
2018-05-26,37,False
2018-05-27,37,False
2018-05-28,82,False
2018-05-29,62,False
2018-05-30,66,False
2018-05-31,63,False
2018-06-01,66,False
2018-06-02,33,False
2018-06-03,49,False
2018-06-04,87,False
2018-06-05,86,False
2018-06-06,72,False
2018-06-07,78,False
2018-06-08,71,False
2018-06-09,48,False
2018-06-10,50,False
2018-06-11,100,False
2018-06-12,72,False
2018-06-13,79,False
2018-06-14,57,False
2018-06-15,50,False
2018-06-16,25,False
2018-06-17,38,False
2018-06-18,64,False
2018-06-19,65,False
2018-06-20,54,False
2018-06-21,67,False
2018-06-22,45,False
2018-06-23,35,False
2018-06-24,28,False
2018-06-25,81,False
2018-06-26,50,False
2018-06-27,53,False
2018-06-28,81,False
