date,WBA,isPartial
2009-08-19,29,False
2009-08-20,23,False
2009-08-21,22,False
2009-08-22,34,False
2009-08-23,33,False
2009-08-24,25,False
2009-08-25,22,False
2009-08-26,33,False
2009-08-27,22,False
2009-08-28,28,False
2009-08-29,22,False
2009-08-30,29,False
2009-08-31,29,False
2009-09-01,26,False
2009-09-02,24,False
2009-09-03,17,False
2009-09-04,15,False
2009-09-05,25,False
2009-09-06,29,False
2009-09-07,25,False
2009-09-08,25,False
2009-09-09,23,False
2009-09-10,28,False
2009-09-11,18,False
2009-09-12,25,False
2009-09-13,24,False
2009-09-14,27,False
2009-09-15,36,False
2009-09-16,23,False
2009-09-17,21,False
2009-09-18,24,False
2009-09-19,29,False
2009-09-20,26,False
2009-09-21,21,False
2009-09-22,67,False
2009-09-23,30,False
2009-09-24,23,False
2009-09-25,17,False
2009-09-26,34,False
2009-09-27,32,False
2009-09-28,23,False
2009-09-29,41,False
2009-09-30,29,False
2009-10-01,24,False
2009-10-02,23,False
2009-10-03,23,False
2009-10-04,20,False
2009-10-05,25,False
2009-10-06,34,False
2009-10-07,29,False
2009-10-08,20,False
2009-10-09,23,False
2009-10-10,24,False
2009-10-11,29,False
2009-10-12,23,False
2009-10-13,20,False
2009-10-14,19,False
2009-10-15,17,False
2009-10-16,14,False
2009-10-17,24,False
2009-10-18,27,False
2009-10-19,19,False
2009-10-20,21,False
2009-10-21,22,False
2009-10-22,19,False
2009-10-23,19,False
2009-10-24,30,False
2009-10-25,34,False
2009-10-26,31,False
2009-10-27,20,False
2009-10-28,15,False
2009-10-29,21,False
2009-10-30,13,False
2009-10-31,26,False
2009-11-01,19,False
2009-11-02,21,False
2009-11-03,22,False
2009-11-04,20,False
2009-11-05,20,False
2009-11-06,23,False
2009-11-07,73,False
2009-11-08,100,False
2009-11-09,44,False
2009-11-10,26,False
2009-11-11,22,False
2009-11-12,24,False
2009-11-13,21,False
2009-11-14,22,False
2009-11-15,31,False
2009-11-16,31,False
2009-11-17,20,False
2009-11-18,20,False
2009-11-19,23,False
2009-11-20,24,False
2009-11-21,32,False
2009-11-22,33,False
2009-11-23,31,False
2009-11-24,25,False
2009-11-25,24,False
2009-11-26,21,False
2009-11-27,25,False
2009-11-28,38,False
2009-11-29,41,False
2009-11-30,37,False
2009-12-01,22,False
2009-12-02,24,False
2009-12-03,25,False
2009-12-04,24,False
2009-12-05,28,False
2009-12-06,22,False
2009-12-07,32,False
2009-12-08,21,False
2009-12-09,24,False
2009-12-10,23,False
2009-12-11,20,False
2009-12-12,19,False
2009-12-13,30,False
2009-12-14,34,False
2009-12-15,25,False
2009-12-16,23,False
2009-12-17,19,False
2009-12-18,21,False
2009-12-19,35,False
2009-12-20,28,False
2009-12-21,20,False
2009-12-22,27,False
2009-12-23,21,False
2009-12-24,18,False
2009-12-25,17,False
2009-12-26,16,False
2009-12-27,13,False
2009-12-28,22,False
2009-12-29,27,False
2009-12-30,18,False
2009-12-31,21,False
2010-01-01,32,False
2010-01-02,40,False
2010-01-03,34,False
2010-01-04,32,False
2010-01-05,27,False
2010-01-06,34,False
2010-01-07,54,False
2010-01-08,100,False
2010-01-09,56,False
2010-01-10,39,False
2010-01-11,42,False
2010-01-12,33,False
2010-01-13,32,False
2010-01-14,31,False
2010-01-15,31,False
2010-01-16,34,False
2010-01-17,38,False
2010-01-18,41,False
2010-01-19,45,False
2010-01-20,39,False
2010-01-21,30,False
2010-01-22,24,False
2010-01-23,42,False
2010-01-24,33,False
2010-01-25,33,False
2010-01-26,33,False
2010-01-27,42,False
2010-01-28,43,False
2010-01-29,40,False
2010-01-30,33,False
2010-01-31,39,False
2010-02-01,44,False
2010-02-02,29,False
2010-02-03,37,False
2010-02-04,40,False
2010-02-05,28,False
2010-02-06,40,False
2010-02-07,63,False
2010-02-08,63,False
2010-02-09,54,False
2010-02-10,37,False
2010-02-11,31,False
2010-02-12,23,False
2010-02-13,51,False
2010-02-14,34,False
2010-02-15,50,False
2010-02-16,42,False
2010-02-17,32,False
2010-02-18,31,False
2010-02-19,35,False
2010-02-20,37,False
2010-02-21,44,False
2010-02-22,29,False
2010-02-23,39,False
2010-02-24,43,False
2010-02-25,38,False
2010-02-26,30,False
2010-02-27,34,False
2010-02-28,26,False
2010-03-01,28,False
2010-03-02,31,False
2010-03-03,23,False
2010-03-04,29,False
2010-03-05,32,False
2010-03-06,30,False
2010-03-07,36,False
2010-03-08,33,False
2010-03-09,40,False
2010-03-10,35,False
2010-03-11,29,False
2010-03-12,26,False
