date,HON,isPartial
2009-08-29,63,False
2009-08-30,64,False
2009-08-31,52,False
2009-09-01,63,False
2009-09-02,52,False
2009-09-03,54,False
2009-09-04,65,False
2009-09-05,65,False
2009-09-06,66,False
2009-09-07,59,False
2009-09-08,51,False
2009-09-09,51,False
2009-09-10,55,False
2009-09-11,58,False
2009-09-12,80,False
2009-09-13,67,False
2009-09-14,56,False
2009-09-15,59,False
2009-09-16,59,False
2009-09-17,65,False
2009-09-18,70,False
2009-09-19,78,False
2009-09-20,75,False
2009-09-21,63,False
2009-09-22,64,False
2009-09-23,65,False
2009-09-24,63,False
2009-09-25,69,False
2009-09-26,76,False
2009-09-27,71,False
2009-09-28,59,False
2009-09-29,57,False
2009-09-30,56,False
2009-10-01,60,False
2009-10-02,60,False
2009-10-03,75,False
2009-10-04,73,False
2009-10-05,54,False
2009-10-06,61,False
2009-10-07,59,False
2009-10-08,56,False
2009-10-09,60,False
2009-10-10,82,False
2009-10-11,68,False
2009-10-12,65,False
2009-10-13,55,False
2009-10-14,59,False
2009-10-15,60,False
2009-10-16,63,False
2009-10-17,75,False
2009-10-18,67,False
2009-10-19,56,False
2009-10-20,56,False
2009-10-21,58,False
2009-10-22,58,False
2009-10-23,55,False
2009-10-24,86,False
2009-10-25,74,False
2009-10-26,58,False
2009-10-27,61,False
2009-10-28,61,False
2009-10-29,62,False
2009-10-30,59,False
2009-10-31,78,False
2009-11-01,73,False
2009-11-02,57,False
2009-11-03,62,False
2009-11-04,64,False
2009-11-05,62,False
2009-11-06,65,False
2009-11-07,87,False
2009-11-08,77,False
2009-11-09,63,False
2009-11-10,60,False
2009-11-11,66,False
2009-11-12,63,False
2009-11-13,64,False
2009-11-14,79,False
2009-11-15,72,False
2009-11-16,60,False
2009-11-17,57,False
2009-11-18,59,False
2009-11-19,61,False
2009-11-20,64,False
2009-11-21,82,False
2009-11-22,74,False
2009-11-23,60,False
2009-11-24,60,False
2009-11-25,61,False
2009-11-26,86,False
2009-11-27,71,False
2009-11-28,78,False
2009-11-29,74,False
2009-11-30,66,False
2009-12-01,61,False
2009-12-02,65,False
2009-12-03,61,False
2009-12-04,68,False
2009-12-05,90,False
2009-12-06,74,False
2009-12-07,61,False
2009-12-08,64,False
2009-12-09,70,False
2009-12-10,64,False
2009-12-11,68,False
2009-12-12,100,False
2009-12-13,73,False
2009-12-14,66,False
2009-12-15,65,False
2009-12-16,70,False
2009-12-17,65,False
2009-12-18,88,False
2009-12-19,93,False
2009-12-20,80,False
2009-12-21,64,False
2009-12-22,69,False
2009-12-23,77,False
2009-12-24,80,False
2009-12-25,93,False
2009-12-26,84,False
2009-12-27,82,False
2009-12-28,73,False
2009-12-29,74,False
2009-12-30,73,False
2009-12-31,80,False
2010-01-01,38,False
2010-01-02,35,False
2010-01-03,35,False
2010-01-04,32,False
2010-01-05,30,False
2010-01-06,30,False
2010-01-07,34,False
2010-01-08,32,False
2010-01-09,36,False
2010-01-10,37,False
2010-01-11,30,False
2010-01-12,40,False
2010-01-13,35,False
2010-01-14,34,False
2010-01-15,35,False
2010-01-16,46,False
2010-01-17,38,False
2010-01-18,34,False
2010-01-19,33,False
2010-01-20,31,False
2010-01-21,33,False
2010-01-22,35,False
2010-01-23,42,False
2010-01-24,40,False
2010-01-25,33,False
2010-01-26,30,False
2010-01-27,29,False
2010-01-28,34,False
2010-01-29,36,False
2010-01-30,41,False
2010-01-31,38,False
2010-02-01,32,False
2010-02-02,34,False
2010-02-03,30,False
2010-02-04,28,False
2010-02-05,31,False
2010-02-06,43,False
2010-02-07,35,False
2010-02-08,34,False
2010-02-09,33,False
2010-02-10,30,False
2010-02-11,29,False
2010-02-12,33,False
2010-02-13,31,False
2010-02-14,33,False
2010-02-15,30,False
2010-02-16,36,False
2010-02-17,35,False
2010-02-18,36,False
2010-02-19,38,False
2010-02-20,44,False
2010-02-21,46,False
2010-02-22,40,False
