date,MRNA,isPartial
2015-04-16,69,False
2015-04-17,69,False
2015-04-18,26,False
2015-04-19,48,False
2015-04-20,78,False
2015-04-21,82,False
2015-04-22,74,False
2015-04-23,73,False
2015-04-24,55,False
2015-04-25,38,False
2015-04-26,45,False
2015-04-27,74,False
2015-04-28,86,False
2015-04-29,71,False
2015-04-30,67,False
2015-05-01,59,False
2015-05-02,26,False
2015-05-03,42,False
2015-05-04,69,False
2015-05-05,58,False
2015-05-06,63,False
2015-05-07,65,False
2015-05-08,52,False
2015-05-09,24,False
2015-05-10,40,False
2015-05-11,60,False
2015-05-12,53,False
2015-05-13,48,False
2015-05-14,58,False
2015-05-15,41,False
2015-05-16,25,False
2015-05-17,30,False
2015-05-18,48,False
2015-05-19,51,False
2015-05-20,61,False
2015-05-21,42,False
2015-05-22,37,False
2015-05-23,17,False
2015-05-24,23,False
2015-05-25,38,False
2015-05-26,52,False
2015-05-27,54,False
2015-05-28,48,False
2015-05-29,40,False
2015-05-30,24,False
2015-05-31,34,False
2015-06-01,44,False
2015-06-02,46,False
2015-06-03,43,False
2015-06-04,38,False
2015-06-05,42,False
2015-06-06,21,False
2015-06-07,22,False
2015-06-08,37,False
2015-06-09,37,False
2015-06-10,43,False
2015-06-11,37,False
2015-06-12,38,False
2015-06-13,22,False
2015-06-14,23,False
2015-06-15,30,False
2015-06-16,36,False
2015-06-17,39,False
2015-06-18,35,False
2015-06-19,29,False
2015-06-20,22,False
2015-06-21,23,False
2015-06-22,37,False
2015-06-23,27,False
2015-06-24,34,False
2015-06-25,36,False
2015-06-26,27,False
2015-06-27,19,False
2015-06-28,23,False
2015-06-29,29,False
2015-06-30,33,False
2015-07-01,25,False
2015-07-02,26,False
2015-07-03,18,False
2015-07-04,12,False
2015-07-05,17,False
2015-07-06,27,False
2015-07-07,33,False
2015-07-08,30,False
2015-07-09,26,False
2015-07-10,25,False
2015-07-11,18,False
2015-07-12,16,False
2015-07-13,30,False
2015-07-14,21,False
2015-07-15,20,False
2015-07-16,24,False
2015-07-17,15,False
2015-07-18,11,False
2015-07-19,17,False
2015-07-20,23,False
2015-07-21,28,False
2015-07-22,29,False
2015-07-23,30,False
2015-07-24,16,False
2015-07-25,12,False
2015-07-26,11,False
2015-07-27,25,False
2015-07-28,28,False
2015-07-29,27,False
2015-07-30,22,False
2015-07-31,24,False
2015-08-01,9,False
2015-08-02,17,False
2015-08-03,22,False
2015-08-04,24,False
2015-08-05,23,False
2015-08-06,26,False
2015-08-07,19,False
2015-08-08,11,False
2015-08-09,14,False
2015-08-10,20,False
2015-08-11,19,False
2015-08-12,17,False
2015-08-13,29,False
2015-08-14,16,False
2015-08-15,12,False
2015-08-16,16,False
2015-08-17,25,False
2015-08-18,25,False
2015-08-19,24,False
2015-08-20,27,False
2015-08-21,18,False
2015-08-22,14,False
2015-08-23,16,False
2015-08-24,21,False
2015-08-25,25,False
2015-08-26,24,False
2015-08-27,29,False
2015-08-28,19,False
2015-08-29,14,False
2015-08-30,15,False
2015-08-31,31,False
2015-09-01,32,False
2015-09-02,24,False
2015-09-03,39,False
2015-09-04,32,False
2015-09-05,20,False
2015-09-06,21,False
2015-09-07,24,False
2015-09-08,33,False
2015-09-09,40,False
2015-09-10,42,False
2015-09-11,33,False
2015-09-12,24,False
2015-09-13,30,False
2015-09-14,41,False
2015-09-15,46,False
2015-09-16,41,False
2015-09-17,47,False
2015-09-18,38,False
2015-09-19,23,False
2015-09-20,41,False
2015-09-21,41,False
2015-09-22,52,False
2015-09-23,49,False
2015-09-24,43,False
2015-09-25,40,False
2015-09-26,27,False
2015-09-27,32,False
2015-09-28,48,False
2015-09-29,51,False
2015-09-30,47,False
2015-10-01,50,False
2015-10-02,39,False
2015-10-03,28,False
2015-10-04,27,False
2015-10-05,54,False
2015-10-06,69,False
2015-10-07,58,False
2015-10-08,56,False
2015-10-09,41,False
2015-10-10,23,False
2015-10-11,34,False
2015-10-12,54,False
2015-10-13,55,False
2015-10-14,53,False
2015-10-15,55,False
2015-10-16,47,False
2015-10-17,26,False
2015-10-18,37,False
2015-10-19,54,False
2015-10-20,60,False
2015-10-21,58,False
2015-10-22,60,False
2015-10-23,52,False
2015-10-24,27,False
2015-10-25,41,False
2015-10-26,64,False
2015-10-27,67,False
2015-10-28,65,False
2015-10-29,67,False
2015-10-30,49,False
2015-10-31,25,False
2015-11-01,35,False
2015-11-02,78,False
2015-11-03,73,False
2015-11-04,72,False
2015-11-05,64,False
2015-11-06,57,False
2015-11-07,28,False
2015-11-08,43,False
2015-11-09,62,False
2015-11-10,72,False
2015-11-11,73,False
