date,EXC,isPartial
2012-07-30,84,False
2012-07-31,78,False
2012-08-01,76,False
2012-08-02,83,False
2012-08-03,74,False
2012-08-04,78,False
2012-08-05,83,False
2012-08-06,74,False
2012-08-07,73,False
2012-08-08,72,False
2012-08-09,75,False
2012-08-10,70,False
2012-08-11,58,False
2012-08-12,71,False
2012-08-13,79,False
2012-08-14,79,False
2012-08-15,78,False
2012-08-16,80,False
2012-08-17,80,False
2012-08-18,59,False
2012-08-19,76,False
2012-08-20,81,False
2012-08-21,83,False
2012-08-22,85,False
2012-08-23,89,False
2012-08-24,81,False
2012-08-25,78,False
2012-08-26,91,False
2012-08-27,74,False
2012-08-28,88,False
2012-08-29,86,False
2012-08-30,89,False
2012-08-31,78,False
2012-09-01,91,False
2012-09-02,83,False
2012-09-03,92,False
2012-09-04,75,False
2012-09-05,92,False
2012-09-06,75,False
2012-09-07,89,False
2012-09-08,89,False
2012-09-09,82,False
2012-09-10,81,False
2012-09-11,98,False
2012-09-12,91,False
2012-09-13,78,False
2012-09-14,81,False
2012-09-15,71,False
2012-09-16,73,False
2012-09-17,85,False
2012-09-18,89,False
2012-09-19,86,False
2012-09-20,80,False
2012-09-21,89,False
2012-09-22,74,False
2012-09-23,92,False
2012-09-24,90,False
2012-09-25,90,False
2012-09-26,88,False
2012-09-27,76,False
2012-09-28,80,False
2012-09-29,83,False
2012-09-30,87,False
2012-10-01,82,False
2012-10-02,92,False
2012-10-03,84,False
2012-10-04,74,False
2012-10-05,76,False
2012-10-06,86,False
2012-10-07,89,False
2012-10-08,95,False
2012-10-09,87,False
2012-10-10,76,False
2012-10-11,76,False
2012-10-12,77,False
2012-10-13,100,False
2012-10-14,87,False
2012-10-15,74,False
2012-10-16,75,False
2012-10-17,71,False
2012-10-18,75,False
2012-10-19,80,False
2012-10-20,87,False
2012-10-21,74,False
2012-10-22,93,False
2012-10-23,85,False
2012-10-24,81,False
2012-10-25,71,False
2012-10-26,98,False
2012-10-27,77,False
2012-10-28,86,False
2012-10-29,75,False
2012-10-30,79,False
2012-10-31,70,False
2012-11-01,75,False
2012-11-02,76,False
2012-11-03,82,False
2012-11-04,78,False
2012-11-05,91,False
2012-11-06,74,False
2012-11-07,80,False
2012-11-08,74,False
2012-11-09,76,False
2012-11-10,79,False
2012-11-11,79,False
2012-11-12,90,False
2012-11-13,77,False
2012-11-14,72,False
2012-11-15,81,False
2012-11-16,75,False
2012-11-17,63,False
2012-11-18,86,False
2012-11-19,72,False
2012-11-20,89,False
2012-11-21,77,False
2012-11-22,67,False
2012-11-23,84,False
2012-11-24,84,False
2012-11-25,60,False
2012-11-26,87,False
2012-11-27,80,False
2012-11-28,68,False
2012-11-29,79,False
2012-11-30,74,False
2012-12-01,71,False
2012-12-02,75,False
2012-12-03,69,False
2012-12-04,79,False
2012-12-05,74,False
2012-12-06,76,False
2012-12-07,70,False
2012-12-08,67,False
2012-12-09,76,False
2012-12-10,79,False
2012-12-11,66,False
2012-12-12,67,False
2012-12-13,76,False
2012-12-14,71,False
2012-12-15,52,False
2012-12-16,79,False
2012-12-17,72,False
2012-12-18,77,False
2012-12-19,73,False
2012-12-20,64,False
2012-12-21,65,False
2012-12-22,74,False
2012-12-23,84,False
2012-12-24,57,False
2012-12-25,67,False
2012-12-26,73,False
2012-12-27,72,False
2012-12-28,77,False
2012-12-29,68,False
2012-12-30,83,False
2012-12-31,66,False
2013-01-01,66,False
2013-01-02,76,False
2013-01-03,81,False
2013-01-04,77,False
2013-01-05,70,False
2013-01-06,73,False
2013-01-07,78,False
2013-01-08,68,False
2013-01-09,78,False
2013-01-10,80,False
2013-01-11,81,False
2013-01-12,73,False
2013-01-13,77,False
2013-01-14,75,False
2013-01-15,71,False
2013-01-16,69,False
2013-01-17,70,False
2013-01-18,72,False
2013-01-19,74,False
2013-01-20,80,False
2013-01-21,67,False
2013-01-22,83,False
2013-01-23,77,False
2013-01-24,80,False
2013-01-25,67,False
2013-01-26,86,False
2013-01-27,73,False
2013-01-28,71,False
2013-01-29,71,False
2013-01-30,76,False
2013-01-31,67,False
2013-02-01,79,False
2013-02-02,74,False
2013-02-03,81,False
2013-02-04,75,False
2013-02-05,73,False
2013-02-06,85,False
2013-02-07,91,False
2013-02-08,76,False
2013-02-09,74,False
2013-02-10,74,False
2013-02-11,80,False
2013-02-12,83,False
2013-02-13,59,False
2013-02-14,73,False
2013-02-15,75,False
2013-02-16,84,False
2013-02-17,73,False
2013-02-18,80,False
2013-02-19,84,False
2013-02-20,80,False
2013-02-21,68,False
2013-02-22,78,False
2013-02-23,71,False
2013-02-24,91,False
2013-02-25,80,False
2013-02-26,79,False
2013-02-27,73,False
2013-02-28,80,False
2013-03-01,82,False
2013-03-02,78,False
2013-03-03,86,False
2013-03-04,84,False
2013-03-05,79,False
2013-03-06,81,False
2013-03-07,82,False
2013-03-08,73,False
2013-03-09,82,False
2013-03-10,82,False
2013-03-11,78,False
2013-03-12,76,False
2013-03-13,81,False
2013-03-14,74,False
2013-03-15,64,False
2013-03-16,79,False
2013-03-17,92,False
2013-03-18,77,False
2013-03-19,69,False
2013-03-20,90,False
2013-03-21,71,False
2013-03-22,67,False
2013-03-23,87,False
2013-03-24,95,False
2013-03-25,81,False
2013-03-26,79,False
2013-03-27,96,False
2013-03-28,85,False
2013-03-29,80,False
2013-03-30,78,False
2013-03-31,83,False
2013-04-01,92,False
2013-04-02,91,False
2013-04-03,77,False
2013-04-04,78,False
2013-04-05,83,False
2013-04-06,73,False
2013-04-07,88,False
2013-04-08,81,False
2013-04-09,83,False
2013-04-10,69,False
2013-04-11,85,False
2013-04-12,68,False
2013-04-13,76,False
2013-04-14,84,False
2013-04-15,84,False
2013-04-16,100,False
2013-04-17,75,False
2013-04-18,87,False
2013-04-19,80,False
2013-04-20,82,False
2013-04-21,89,False
2013-04-22,88,False
2013-04-23,86,False
2013-04-24,94,False
2013-04-25,89,False
2013-04-26,100,False
2013-04-27,90,False
2013-04-28,86,False
2013-04-29,94,False
2013-04-30,74,False
2013-05-01,93,False
2013-05-02,87,False
2013-05-03,91,False
2013-05-04,78,False
2013-05-05,85,False
2013-05-06,83,False
2013-05-07,93,False
2013-05-08,96,False
2013-05-09,82,False
2013-05-10,96,False
2013-05-11,74,False
2013-05-12,97,False
2013-05-13,94,False
2013-05-14,88,False
2013-05-15,78,False
2013-05-16,85,False
2013-05-17,84,False
2013-05-18,89,False
2013-05-19,90,False
2013-05-20,91,False
2013-05-21,81,False
2013-05-22,79,False
2013-05-23,81,False
2013-05-24,75,False
2013-05-25,81,False
2013-05-26,89,False
2013-05-27,86,False
2013-05-28,88,False
2013-05-29,88,False
2013-05-30,95,False
2013-05-31,77,False
2013-06-01,66,False
2013-06-02,91,False
2013-06-03,84,False
2013-06-04,85,False
2013-06-05,88,False
2013-06-06,77,False
2013-06-07,65,False
2013-06-08,68,False
2013-06-09,82,False
2013-06-10,83,False
2013-06-11,81,False
2013-06-12,79,False
2013-06-13,81,False
2013-06-14,78,False
2013-06-15,78,False
2013-06-16,92,False
2013-06-17,79,False
2013-06-18,87,False
2013-06-19,82,False
2013-06-20,86,False
2013-06-21,69,False
2013-06-22,78,False
2013-06-23,81,False
2013-06-24,77,False
2013-06-25,75,False
2013-06-26,72,False
2013-06-27,81,False
2013-06-28,72,False
2013-06-29,78,False
2013-06-30,71,False
2013-07-01,77,False
2013-07-02,83,False
2013-07-03,82,False
2013-07-04,82,False
2013-07-05,59,False
2013-07-06,78,False
2013-07-07,84,False
2013-07-08,85,False
2013-07-09,87,False
2013-07-10,81,False
2013-07-11,83,False
2013-07-12,65,False
2013-07-13,60,False
2013-07-14,69,False
2013-07-15,82,False
2013-07-16,91,False
2013-07-17,85,False
2013-07-18,83,False
2013-07-19,81,False
2013-07-20,58,False
2013-07-21,77,False
2013-07-22,69,False
2013-07-23,72,False
2013-07-24,68,False
2013-07-25,74,False
2013-07-26,71,False
2013-07-27,70,False
2013-07-28,87,False
2013-07-29,69,False
2013-07-30,82,False
2013-07-31,79,False
2013-08-01,69,False
2013-08-02,87,False
2013-08-03,51,False
2013-08-04,100,False
2013-08-05,84,False
2013-08-06,84,False
2013-08-07,82,False
2013-08-08,82,False
2013-08-09,75,False
2013-08-10,77,False
2013-08-11,89,False
2013-08-12,89,False
2013-08-13,75,False
2013-08-14,77,False
2013-08-15,73,False
2013-08-16,70,False
2013-08-17,74,False
2013-08-18,83,False
2013-08-19,70,False
2013-08-20,74,False
2013-08-21,84,False
2013-08-22,71,False
2013-08-23,75,False
2013-08-24,71,False
2013-08-25,83,False
2013-08-26,71,False
2013-08-27,82,False
2013-08-28,81,False
2013-08-29,85,False
2013-08-30,77,False
2013-08-31,75,False
2013-09-01,83,False
2013-09-02,83,False
2013-09-03,79,False
2013-09-04,77,False
2013-09-05,79,False
2013-09-06,93,False
2013-09-07,72,False
2013-09-08,76,False
2013-09-09,86,False
2013-09-10,88,False
2013-09-11,82,False
2013-09-12,76,False
2013-09-13,74,False
2013-09-14,74,False
2013-09-15,80,False
2013-09-16,80,False
2013-09-17,69,False
2013-09-18,63,False
2013-09-19,77,False
2013-09-20,65,False
2013-09-21,80,False
2013-09-22,82,False
2013-09-23,82,False
2013-09-24,74,False
2013-09-25,74,False
2013-09-26,78,False
2013-09-27,78,False
2013-09-28,77,False
2013-09-29,91,False
2013-09-30,76,False
2013-10-01,87,False
2013-10-02,87,False
2013-10-03,79,False
2013-10-04,81,False
2013-10-05,87,False
2013-10-06,88,False
2013-10-07,75,False
2013-10-08,78,False
2013-10-09,84,False
2013-10-10,78,False
2013-10-11,68,False
2013-10-12,74,False
2013-10-13,77,False
2013-10-14,84,False
2013-10-15,84,False
2013-10-16,83,False
2013-10-17,83,False
2013-10-18,81,False
2013-10-19,77,False
2013-10-20,81,False
2013-10-21,89,False
2013-10-22,90,False
2013-10-23,76,False
2013-10-24,79,False
2013-10-25,75,False
2013-10-26,75,False
2013-10-27,91,False
2013-10-28,91,False
2013-10-29,79,False
2013-10-30,78,False
2013-10-31,74,False
2013-11-01,80,False
2013-11-02,74,False
2013-11-03,88,False
2013-11-04,78,False
2013-11-05,75,False
2013-11-06,79,False
2013-11-07,71,False
2013-11-08,74,False
2013-11-09,81,False
2013-11-10,88,False
2013-11-11,81,False
2013-11-12,78,False
2013-11-13,84,False
2013-11-14,77,False
2013-11-15,84,False
2013-11-16,70,False
2013-11-17,85,False
2013-11-18,79,False
2013-11-19,81,False
2013-11-20,82,False
2013-11-21,88,False
2013-11-22,68,False
2013-11-23,75,False
2013-11-24,79,False
2013-11-25,79,False
2013-11-26,83,False
2013-11-27,68,False
2013-11-28,71,False
2013-11-29,76,False
2013-11-30,61,False
2013-12-01,69,False
2013-12-02,55,False
2013-12-03,78,False
2013-12-04,65,False
2013-12-05,55,False
2013-12-06,67,False
2013-12-07,63,False
2013-12-08,71,False
2013-12-09,79,False
2013-12-10,75,False
2013-12-11,63,False
2013-12-12,66,False
2013-12-13,62,False
2013-12-14,65,False
2013-12-15,85,False
2013-12-16,81,False
2013-12-17,64,False
2013-12-18,67,False
2013-12-19,70,False
2013-12-20,67,False
2013-12-21,64,False
2013-12-22,78,False
2013-12-23,76,False
2013-12-24,67,False
2013-12-25,70,False
2013-12-26,75,False
2013-12-27,82,False
2013-12-28,74,False
2013-12-29,78,False
2013-12-30,87,False
2013-12-31,68,False
2014-01-01,70,False
2014-01-02,73,False
2014-01-03,76,False
2014-01-04,69,False
2014-01-05,70,False
2014-01-06,72,False
2014-01-07,74,False
2014-01-08,78,False
2014-01-09,74,False
2014-01-10,71,False
2014-01-11,68,False
2014-01-12,88,False
2014-01-13,83,False
2014-01-14,74,False
2014-01-15,74,False
2014-01-16,75,False
2014-01-17,67,False
2014-01-18,78,False
2014-01-19,74,False
2014-01-20,76,False
2014-01-21,76,False
2014-01-22,76,False
2014-01-23,77,False
2014-01-24,75,False
2014-01-25,68,False
2014-01-26,70,False
2014-01-27,82,False
2014-01-28,68,False
2014-01-29,63,False
2014-01-30,69,False
2014-01-31,67,False
2014-02-01,71,False
2014-02-02,76,False
2014-02-03,75,False
2014-02-04,68,False
2014-02-05,60,False
2014-02-06,64,False
2014-02-07,63,False
2014-02-08,73,False
2014-02-09,76,False
2014-02-10,73,False
2014-02-11,74,False
2014-02-12,64,False
