date,FANG,isPartial
2018-07-04,48,False
2018-07-05,52,False
2018-07-06,59,False
2018-07-07,86,False
2018-07-08,96,False
2018-07-09,81,False
2018-07-10,82,False
2018-07-11,75,False
2018-07-12,87,False
2018-07-13,88,False
2018-07-14,94,False
2018-07-15,100,False
2018-07-16,83,False
2018-07-17,84,False
2018-07-18,73,False
2018-07-19,73,False
2018-07-20,72,False
2018-07-21,73,False
2018-07-22,81,False
2018-07-23,88,False
2018-07-24,80,False
2018-07-25,77,False
2018-07-26,86,False
2018-07-27,74,False
2018-07-28,70,False
2018-07-29,80,False
2018-07-30,73,False
2018-07-31,79,False
2018-08-01,64,False
2018-08-02,65,False
2018-08-03,70,False
2018-08-04,65,False
2018-08-05,67,False
2018-08-06,61,False
2018-08-07,59,False
2018-08-08,59,False
2018-08-09,60,False
2018-08-10,64,False
2018-08-11,67,False
2018-08-12,70,False
2018-08-13,66,False
2018-08-14,61,False
2018-08-15,63,False
2018-08-16,65,False
2018-08-17,69,False
2018-08-18,67,False
2018-08-19,68,False
2018-08-20,62,False
2018-08-21,65,False
2018-08-22,57,False
2018-08-23,63,False
2018-08-24,62,False
2018-08-25,63,False
2018-08-26,57,False
2018-08-27,56,False
2018-08-28,58,False
2018-08-29,58,False
2018-08-30,59,False
2018-08-31,64,False
2018-09-01,62,False
2018-09-02,66,False
2018-09-03,60,False
2018-09-04,55,False
2018-09-05,58,False
2018-09-06,56,False
2018-09-07,57,False
2018-09-08,61,False
2018-09-09,67,False
2018-09-10,53,False
2018-09-11,57,False
2018-09-12,60,False
2018-09-13,56,False
2018-09-14,61,False
2018-09-15,60,False
2018-09-16,63,False
2018-09-17,60,False
2018-09-18,61,False
2018-09-19,78,False
2018-09-20,78,False
2018-09-21,76,False
2018-09-22,91,False
2018-09-23,84,False
2018-09-24,70,False
2018-09-25,66,False
2018-09-26,61,False
2018-09-27,61,False
2018-09-28,57,False
2018-09-29,63,False
2018-09-30,61,False
2018-10-01,58,False
2018-10-02,48,False
2018-10-03,59,False
2018-10-04,63,False
2018-10-05,60,False
2018-10-06,57,False
2018-10-07,49,False
2018-10-08,52,False
2018-10-09,52,False
2018-10-10,53,False
2018-10-11,60,False
2018-10-12,61,False
2018-10-13,59,False
2018-10-14,61,False
2018-10-15,54,False
2018-10-16,51,False
2018-10-17,59,False
2018-10-18,56,False
2018-10-19,63,False
2018-10-20,66,False
2018-10-21,64,False
2018-10-22,68,False
2018-10-23,64,False
2018-10-24,65,False
2018-10-25,66,False
2018-10-26,69,False
2018-10-27,73,False
2018-10-28,83,False
2018-10-29,72,False
2018-10-30,72,False
2018-10-31,64,False
2018-11-01,64,False
2018-11-02,65,False
2018-11-03,60,False
2018-11-04,66,False
2018-11-05,57,False
2018-11-06,57,False
2018-11-07,57,False
2018-11-08,59,False
2018-11-09,58,False
2018-11-10,58,False
2018-11-11,56,False
2018-11-12,59,False
2018-11-13,58,False
2018-11-14,54,False
2018-11-15,54,False
2018-11-16,58,False
2018-11-17,63,False
2018-11-18,58,False
2018-11-19,58,False
2018-11-20,64,False
2018-11-21,65,False
2018-11-22,59,False
2018-11-23,63,False
2018-11-24,60,False
2018-11-25,68,False
2018-11-26,56,False
2018-11-27,61,False
2018-11-28,58,False
